Key,Type,Desc,English (United Kingdom) [en]
action_RecruitPrisoner_info,Text,,"A settler with the Prison Warden role will speak to the prisoner each day to try to convince them to join your settlement."
action_ShrinkZone,Text,,"Shrink Zone"
action_ToggleForbid,Text,,"Toggle allow/forbid"
action_ToggleUrgent,Text,,"Toggle Urgent haul"
action_UrgentHaul,Text,,"Urgent Haul"
action_abortgoal,Text,,"Cancel Action"
action_allow,Text,,"Allow"
action_attack,Text,,"Attack"
action_attack_disabled,Text,,"Attack Disabled"
action_attacking,Text,,"Attacking"
action_back_home,Text,,"Go Back"
action_banish,Text,,"Banish"
action_banish_failed_no_path,Text,,"Banishment cancelled. This settler is not able to reach the edge in order to leave."
action_cancel,Text,,"Cancel"
action_caravan,Text,,"Send Caravan"
action_caravan_return,Text,,"Go Back"
action_chopping,Text,,"Chop"
action_copybuilding,Text,,"Copy"
action_cutallvegetation,Text,,"Cut"
action_cutting,Text,,"Cut"
action_deconstructing,Text,,"Deconstruct"
action_draft,Text,,"Draft"
action_drafted,Text,,"Drafted"
action_equipping,Text,,"Equip"
action_fishing,Text,,"Fish"
action_forbid,Text,,"Forbid"
action_gift,Text,,"Gift"
action_harvesting,Text,,"Harvest"
action_hunting,Text,,"Hunt"
action_installbuilding,Text,,"Install"
action_list,Text,,"Actions"
action_mining,Text,,"Mine"
action_movebuilding,Text,,"Relocate"
action_negative_1,Text,,"got pretty heated conversing about"
action_negative_2,Text,,"broached the topic of"
action_negative_3,Text,,"grumbled on about "
action_negative_4,Text,,"would have preferred to avoid discussing"
action_neutral_1,Text,,"started a discussion about"
action_neutral_10,Text,,"had plenty to say about"
action_neutral_11,Text,,"shared comments regarding"
action_neutral_2,Text,,"had ideas to share about"
action_neutral_3,Text,,"wanted a debate about"
action_neutral_4,Text,,"needed to talk about"
action_neutral_5,Text,,"chatted about"
action_neutral_6,Text,,"started a conversation about"
action_neutral_7,Text,,"had time for a chat about"
action_neutral_8,Text,,"got around to the subject of "
action_neutral_9,Text,,"spoke about"
action_positive_1,Text,,"was keen to talk about"
action_positive_2,Text,,"began a cordial discussion about"
action_positive_3,Text,,"indulged in some light banter about"
action_releaseAnimal,Text,,"Release"
action_releasePrisoner,Text,,"Release"
action_releasePrisoner_info,Text,,"Mark a prisoner to be released. A settler with the Gaoler job will take the captive to the edge of the map and free them. This may increase friendliness with the prisoner's faction."
action_shacklesOffPrisoner,Text,,"Remove Shackles"
action_shacklesOnPrisoner,Text,,"Place Shackles"
action_shacklesOnPrisoner_info,Text,,"Mark a prisoner to be shackled to use them as captive labourers or have them join a caravan "
action_slaughterAnimal,Text,,"Slaughter"
action_stripPrisoner,Text,,"Strip"
action_stripPrisoner_info,Text,,"Mark a prisoner to be stripped of all their belongings"
action_tameAnimal,Text,,"Tame"
action_trade,Text,,"Barter"
action_trainAnimal,Text,,"Train"
action_uninstallbuilding,Text,,"Remove"
action_verynegative_1,Text,,"launched into a tirade about "
action_verynegative_2,Text,,"got into an altercation about"
action_verynegative_3,Text,,"complained bitterly about"
action_verypositive_1,Text,,"spoke warmly about"
action_verypositive_2,Text,,"particularly appreciated chatting about"
action_verypositive_3,Text,,"savoured little conversations about"
action_verypositive_4,Text,,"could while away hours discussing"
active_productin_paused,Text,,"Active production paused"
add_conditions,Text,,"Add conditions"
add_new,Text,,"Add new"
add_new_profile_info,Text,,"Add custom profile"
affection_level_0,Text,,"Rival"
affection_level_1,Text,,"Acquaintance"
affection_level_2,Text,,"Friend"
alc_treshold_01,Text,,"Satisfied"
alc_treshold_02,Text,,"No need for alcohol"
alc_treshold_03,Text,,"Slightly lacking"
alc_treshold_04,Text,,"Lacking"
alc_treshold_05,Text,,"Deprived"
allbuildings_deconstruct,Text,,"Select all buildings"
almanac_group_name_Animals,Text,,"Animals"
almanac_group_name_Apparel,Text,,"Apparel"
almanac_group_name_Armor,Text,,"Armour"
almanac_group_name_Base,Text,,"Base"
almanac_group_name_Basictutorials,Text,,"Basic Tutorials"
almanac_group_name_Books,Text,,"Books"
almanac_group_name_Building,Text,,"Building Material"
almanac_group_name_Carcases,Text,,"Carcass"
almanac_group_name_Chemical,Text,,"Chemical"
almanac_group_name_Clothing,Text,,"Clothing"
almanac_group_name_Construction,Text,,"Construction"
almanac_group_name_Decoration,Text,,"Miscellaneous"
almanac_group_name_Defense,Text,,"Warfare"
almanac_group_name_Equipment,Text,,"Equipment"
almanac_group_name_Fermenting,Text,,"Fermenting ingredients"
almanac_group_name_Fodder,Text,,"Fodder"
almanac_group_name_Food,Text,,"Food"
almanac_group_name_Furniture,Text,,"Furniture"
almanac_group_name_Headware,Text,,"Hats"
almanac_group_name_Index,Text,,"Index"
almanac_group_name_Leisure,Text,,"Leisure"
almanac_group_name_Life,Text,,"Flora & Fauna"
almanac_group_name_Manufactured,Text,,"Manufactured"
almanac_group_name_Material,Text,,"Materials"
almanac_group_name_Meal,Text,,"Meal"
almanac_group_name_Medicine,Text,,"Medicine"
almanac_group_name_Melee,Text,,"Melee"
almanac_group_name_Misc,Text,,"Miscellaneous"
almanac_group_name_Plants,Text,,"Plants"
almanac_group_name_Produceable,Text,,"Producible"
almanac_group_name_Production,Text,,"Production"
almanac_group_name_Ranged,Text,,"Ranged"
almanac_group_name_Raw,Text,,"Raw Ingredient"
almanac_group_name_Seeds,Text,,"Seeds"
almanac_group_name_Shields,Text,,"Shields"
almanac_group_name_Stimulants,Text,,"Stimulants"
almanac_group_name_Systems,Text,,"Systems"
almanac_group_name_Textiles,Text,,"Textiles"
almanac_group_name_Trophy,Text,,"Trophies"
almanac_group_name_Tutorial,Text,,"Tutorial"
almanac_group_name_Unrefined,Text,,"Raw Material"
almanac_group_name_Warfare,Text,,"Warfare"
almanac_group_name_Waste,Text,,"Waste"
almanac_group_name_Zone,Text,,"Zone"
almanac_more_details,Text,,"Open almanac for more details"
already_has_operator,Text,,"Already has operator"
already_reserved_by_other_worker,Text,,"Already assigned to another settler"
already_reserved_by_other_worker_will_cancel,Text,,"Another creature or settler is already trying to interact with this pile. This will cancel their actions."
already_working_on_building,Text,,"This settler is already working on this building"
already_working_on_target,Text,,"Already working on it"
always_open_door_info,Text,,"Anyone can pass through this door. It does not slow down those passing through."
amount_met,Text,,"Amount met"
ancrene_disciples_archer_easy,Text,,"Archer"
ancrene_disciples_archer_hard,Text,,"Master Archer"
ancrene_disciples_archer_medium,Text,,"Adept Archer"
ancrene_disciples_basic_easy,Text,,"Marauder"
ancrene_disciples_basic_hard,Text,,"Ruthless Marauder"
ancrene_disciples_basic_medium,Text,,"Fierce Marauder"
ancrene_disciples_center,Text,,"HEREFORD\nHereford Tower is a great structure encasing the former cell, and now tomb, of the visionary Anchoress Menwreda at Wigmore Abbey. It has become a site of pilgrimage and a power base for the Ancrene Disciples."
ancrene_disciples_heavy_easy,Text,,"Thug"
ancrene_disciples_heavy_hard,Text,,"Murderous Thug"
ancrene_disciples_heavy_medium,Text,,"Brutal Thug"
ancrene_disciples_info,Text,,"A band of Christian mystics proselytising the obscure, visionary dreams of Anchoress Menwreda of Wigmore, who was walled into a cell for life at just 15 years of age. Her complex, mystic revelations calcified into rigid doctrine during the plague years. Adherents frequently burn people alive, accusing them of being in league with the Devil, the cause of the scourge."
ancrene_disciples_name,Text,,"The Ancrene Disciples"
animal_cant_attend_event_prompt,Text,,"<animal_name> can't attend the <event_name> and this might have a negative influence to its outcome. Do you wish to cancel the event to avoid this penalty? "
animal_haul_info,Text,,"Animals that are trained to haul piles around will randomly pick piles for hauling from time to time. "
animal_info_badger,Text,,"These nocturnal creatures usually mind their own business, but eat everything and can be aggressive if confronted."
animal_info_bear,Text,,"A mighty predator, once lost to these shores, but now resurgent and deadly. It must have escaped from a bear pit."
animal_info_boar,Text,,"Grisly, and fearless in the face of death. A boar is a ferocious opponent fit for a knight in training."
animal_info_cat,Text,,"Useful for killing vermin, but possibly in league with the devil. Used in Cathar rites and familiar to witches."
animal_info_chicken,Text,,"Our feathered friends kindly provide eggs and meat. They need regular care and guarding from predators."
animal_info_cow,Text,,"Hoofy bovines reared for their meat and milk. A peasant's most prized possession."
animal_info_deer,Text,,"Game forest creatures, favoured by nobles and even occasionally kept as pets. "
animal_info_dog,Text,,"Whether guarding your home or at your side while hunting, a well-trained hound is justifiably a status symbol."
animal_info_domestic,Text,,"Domestic animals will roam around your settlement. They can't go through doors or gates unless led while roped. "
animal_info_domesticnpc,Text,,"Domestic animals will roam around your settlement. They can't go through doors or gates unless led while roped. "
animal_info_donkey,Text,,"Obstinate, ubiquitous, hardworking. A humble beast of burden, used to carry heavy loads. "
animal_info_eel,Text,,"A staple for the pot at lent, our wriggly friend is also delicious fried, spiced and cooked in verjuice to create a tempting Saracen broth."
animal_info_fish_pike,Text,,"You will need a strong line to catch this monster. Serve with a strong Galentyne sauce, spiced with cinnamon."
animal_info_fish_trout,Text,,"Common enough where the waters are clear and small bugs plentiful. Delicious fried, stuffed with butter and lovage."
animal_info_fox,Text,,"Old Reynard the Fox is a sly trickster, who will steal your hens and worry your sheep."
animal_info_goat,Text,,"Good for milk, meat and hides, a goat will eat almost anything, thriving even on poor land."
animal_info_hare,Text,,"Timid but fast, a wild hare is hard to catch. A worthy beast for the pot, and for its fur."
animal_info_london_pigs,Text,,"As London fell into ruins, feral hogs once belonging to St Anthony's hospital got a taste for human flesh. "
animal_info_mallard,Text,,"Dabbling waterfowl. The females are brown, but the males are jewel-bright green and blue."
animal_info_pet,Text,,"Pets roam the settlement freely. They can pass through any door that a settler can. "
animal_info_pheasant,Text,,"Best hunted with a trained hound. A pheasant is not an especially bright bird, but it is a tasty one."
animal_info_pig,Text,,"A fat hog should be fed on acorns in the forest. Can be executed for murder - mind your children."
animal_info_polecat,Text,,"Nocturnal predators that eat rabbits, rats and birds, these slender mammals kill with a swift bite to the neck."
animal_info_rat,Text,,"The sound of scurrying and scratching, food and stores gnawed and spoiled. You smell a rat."
animal_info_sheep,Text,,"Sheep turn England's grass into cash. Best kept for its valuable wool, it also yields meat, milk and hides."
animal_info_water_vole,Text,,"Bright eyes glimpsed in a tiny burrow at the water's edge. Splash! And he's gone."
animal_info_wild,Text,,"Wild animals roam around the map and try to avoid your settlement. They may enter occasionally when hungry."
animal_info_wild_hound,Text,,"Untended dogs will become a feral pack without a human master. Hungry, wild and vicious."
animal_info_wildaggressive,Text,,"Aggressive wild animals will attack your settlers on sight. They may also attack other animals."
animal_info_wolf,Text,,"Despite the best efforts of Edward I to exterminate them, wolves have returned to stalk the woods of England. Beware."
animal_is_domestic_message,Text,,"<settler> has successfully domesticated: <animal> "
animal_is_pet_message,Text,,"<settler> has successfully trained: <animal>"
animal_life_phase,Text,,"Age"
animal_name_badger,Text,,"Badger"
animal_name_bear,Text,,"Bear"
animal_name_boar,Text,,"Boar"
animal_name_cat,Text,,"Cat"
animal_name_chicken,Text,,"Chicken"
animal_name_cow,Text,,"Cattle"
animal_name_deer,Text,,"Deer"
animal_name_dog,Text,,"Dog"
animal_name_donkey,Text,,"Ass"
animal_name_eel,Text,,"Eel"
animal_name_fish_pike,Text,,"Pike"
animal_name_fish_trout,Text,,"Trout"
animal_name_fox,Text,,"Fox"
animal_name_goat,Text,,"Goat"
animal_name_hare,Text,,"Hare"
animal_name_hound,Text,,"Wild Hound"
animal_name_london_pigs,Text,,"London Pigs"
animal_name_mallard,Text,,"Mallard"
animal_name_pheasant,Text,,"Pheasant"
animal_name_pig,Text,,"Pig"
animal_name_polecat,Text,,"Polecat"
animal_name_rat,Text,,"Rat"
animal_name_sheep,Text,,"Sheep"
animal_name_water_vole,Text,,"Water Vole"
animal_name_wolf,Text,,"Wolf"
animal_pen_disabled_outside,Text,,"This pen marker must be in an enclosed area to work."
animal_pen_panel_description,Text,,"Choose what animal type to house in this pen."
animal_pen_panel_title,Text,,"Animal Pen"
animal_pest_control,Text,,"Vermin Control"
animal_pest_control_info,Text,,"Some animals can be trained to take care of pesky creatures, like rats, that cause damage around the settlement. "
animal_roped_to,Text,,"Roped to"
animal_storage_capacity,Text,,"Storage Amount"
animal_type_DomesticNpc,Text,,"Domestic"
animal_type_domestic,Text,,"Domestic"
animal_type_pet,Text,,"Pet"
animal_type_wild,Text,,"Wild"
animal_type_wildAggressive,Text,,"Wild Aggresive"
animal_type_with_name,Text,,"<name> the <animal>"
animals_domestic,Text,,"Domestic"
animals_wildlife,Text,,"Wildlife"
armor_damage,Text,,"Armour damage"
armor_hitpoints_percentage,Text,,"Armour Hitpoints Percentage"
armor_rating,Text,,"Armour rating"
assign_role_info,Text,,"Assign a community role to this settler"
assigned_to,Text,,"Assigned to"
assigned_to_info,Text,,"Choose the settler you wish to assign a pet animal to. Only one pet per settler."
atb_info_AffectionNegativeMultiplier,Text,,"Multiplies negative social interaction intensity"
atb_info_AffectionPositiveMultiplier,Text,,"Multiplies positive social interaction intensity"
atb_info_AgentBeautyInput,Text,,"The amount of Beauty this being offers to the world. This number is combined with the Aesthetic Value of equipped items."
atb_info_AgentFireDamageMultiplier,Text,,"Flame damage is multiplied by this number "
atb_info_AgentFlammability,Text,,"How flammable the person, animal or object is. Higher flammability means they more easily chatch fire."
atb_info_AnimalCritChance,Text,,"The chance to land a critical hit when hunting."
atb_info_AnimalHarvestYeald,Text,,"The number of resources yielded from living animals."
atb_info_AnimalTameChance,Text,,"The chance that the taming attempt will be sucessful (the settler attempting to tame this animal will also multiply this chance)"
atb_info_AnimalTrainChance,Text,,"The chance that the training attempt will be sucessful (the settler attempting to train this animal will also multiply this chance)"
atb_info_AttackCritChance,Text,,"The chance of landing a critical hit with any weapon in combat."
atb_info_BeingRecruitedChance,Text,,"The chance a daily recruitment attempt is successful or not. This is also multiplied by the Recruitment chance of the settler attempting to enroll a new recruit."
atb_info_BloodLoss,Text,,"The amount of blood lost per hour."
atb_info_BloodRecovery,Text,,"Blood loss recovery: settler base blood recovery rate +/- multipliers"
atb_info_ButcheringYield,Text,,"The number of resources yielded from butchering animals."
atb_info_Clumsiness,Text,,"Multiplier indicating chance of failure. The lower the number, the less this settler will fail in their actions."
atb_info_CombatPerception,Text,,"The range at which this settler will notice and engage with enemies when set to aggressive mode."
atb_info_ConsciousnessLoss,Text,,"Consciousness lost per hour. "
atb_info_ConsciousnessMax,Text,,"Settler's maximum consciousness (may be lowered if they receive a head injury)."
atb_info_ConsciousnessStep,Text,,"Multiplier indicating how fast this settler recovers consciousness."
atb_info_ConstructionFail,Text,,"The chance that construction fails, resetting construction time."
atb_info_ConstructionSpeed,Text,,"This settler's building construction speed."
atb_info_ConsumptionSpeed,Text,,"Time taken to consume food item, in hours. Settlers with certain perks will eat faster."
atb_info_ConversationAvailabilityChance,Text,,"Chance to engage in social interactions"
atb_info_ConversationInteractionHoursCooldown,Text,,"Number of hours between social interactions"
atb_info_CookingAmount,Text,,"The number of resources produced by cooking."
atb_info_CookingSpeed,Text,,"This settler's cooking and food preparation speed."
atb_info_CourteousAmount,Text,,"(should be hidden)"
atb_info_CraftingMiscSpeed,Text,,"This settler's crafting speed for basic items."
atb_info_CutAmount,Text,,"The number of resources this settler gets from reaping vegetation."
atb_info_CutFail,Text,,"The chance this settler's reaping fails, losing all resources."
atb_info_CutSpeed,Text,,"This settler's vegetation reaping speed."
atb_info_CuttingStone,Text,,"This settler's stone cutting speed."
atb_info_DecomposeSpeed,Text,,"How fast this resource will decompose."
atb_info_EvadeChance,Text,,"The chance to evade an incoming attack."
atb_info_GlobalWorkSpeed,Text,,"This multiplies the speed of all job-related activities."
atb_info_GlobalXPgain,Text,,"The amount of XP this settler gains from each activity."
atb_info_HarvestAmount,Text,,"The number of resources this settler gets from harvesting."
atb_info_HarvestAnimalSpeed,Text,,"The speed this settler harvests resources from animals (like milking goats or shearing sheep)"
atb_info_HarvestFail,Text,,"The chance of this settler's harvest failing, losing all resources."
atb_info_HarvestSpeed,Text,,"This settler's crop harvesting speed."
atb_info_HealthLoss,Text,,"The number of hitpoints lost per hour."
atb_info_HealthMax,Text,,"Maximum hitpoints: base hitpoints +/- multipliers."
atb_info_HealthRecovery,Text,,"Health recovery: base hitpoint recovery rate +/- multipliers."
atb_info_Hunger,Text,,"This settler's nutrition expended per hour."
atb_info_HungerThreshold,Text,,"Hunger threshold: settler base hunger +/- multipliers. (Example: a -10% perk means hunger thresholds are offset by 10% and this settler will go hungry later than other settlers)"
atb_info_HuntingRetaliateChance,Text,,"The chance that the quarry fights back."
atb_info_HuntingRunChance,Text,,"The chance that the quarry flees."
atb_info_HuntingVisibility,Text,,"Chance that an animal will see this settler when the settler is hunting."
atb_info_MakeClayBrick,Text,,"This settler's clay brickmaking speed."
atb_info_MakeClothesSpeed,Text,,"This settler's garment making speed."
atb_info_MeleeAttackSpeed,Text,,"Melee attack duration: base melee duration +/- multipliers."
atb_info_MeleeChance,Text,,"The chance to hit a target with a melee weapon."
atb_info_MeleeDmg,Text,,"Melee weapon proficiency (Higher melee skill will increase, and penalties such as wounds will decrease this modifier.)."
atb_info_MineAmount,Text,,"The number of resources this settler gets from mining and digging."
atb_info_MineFail,Text,,"The chance this settler will spoil resources when mining and digging."
atb_info_MineSpeed,Text,,"Voxel mining and digging speed."
atb_info_MoodChangeSpeed,Text,,"The speed this settler's mood stat changes."
atb_info_MoodTarget,Text,,"Mood target. This varies depending on positive and negative events. (Settlers with more optimistic perks will cope better with low mood than pessimists.)"
atb_info_MotorFunction,Text,,"Settler motor function level. Affects the duration of all physical actions."
atb_info_MovementSpeed,Text,,"Movement speed represented in grid spaces per second."
atb_info_NegotiationChance,Text,,"The % chance that the negotiation will succeed. For instance: when offering resources instead of a settler during ransom events."
atb_info_NegotiationMultiplier,Text,,"This multiplier affects the value demanded by negotiators. The lower the multiplier, the lower the amount your settlement offers other faction in extortion events and runaway negotiations."
atb_info_PainMax,Text,,"The maximum pain this settler can endure."
atb_info_PainStep,Text,,"Multiplier indicating how fast this settler's pain subsides."
atb_info_PainTreshold,Text,,"Pain Threshold: settler base pain +/- multipliers (example: if a perk sets it to -10%, this settler will be able to handle more pain in combat)"
atb_info_RangedChance,Text,,"The chance to hit a target with a ranged weapon."
atb_info_RangedDmg,Text,,"Ranged weapon proficiency (Higher ranged weapon skill will increase, and penalties such as wounds will decrease this modifier.)"
atb_info_RangedRange,Text,,"Ranged attack multiplier. (This is modified by the weather and time of day.)"
atb_info_RangedSpeed,Text,,"Ranged weapon attack duration: base ranged attack duration +/- multipliers."
atb_info_RareChance,Text,,"Chance of producing higher quality items increased."
atb_info_RecruitChance,Text,,"The chance a daily recruitment attempt is successful or not. This is also multiplied by the Recruitment chance of the prisoner targeted for enrolment."
atb_info_ResearchSpeed,Text,,"Settler's research speed."
atb_info_RottingSpeed,Text,,"How fast this resource will rot."
atb_info_SleepDepletionSpeed,Text,,"Sleep depletion multiplier."
atb_info_SleepNeed,Text,,"Sleep depletion rate. (Settlers loose 4% sleep per hour.)"
atb_info_SleepRecoverSpeed,Text,,"This settler's sleep recovery rate while sleeping or unconscious."
atb_info_SleepThreshold,Text,,"Sleep thresholds multiplier. (example: if a perk sets it to -10%, sleep thresholds are offset by 10% and this settler will go to sleep later than other settlers.)"
atb_info_SmithingSpeed,Text,,"This settler's smithing speed."
atb_info_SocialCompatibilityNegative,Text,,"Multiplies the chance a negative social interaction will occur"
atb_info_SocialCompatibilityPositive,Text,,"Multiplies the chance a positive social interaction will occur"
atb_info_SowSpeed,Text,,"This settler's crop sowing speed."
atb_info_SqueamishAmount,Text,,"(should be hidden)"
atb_info_TameAnimalSpeed,Text,,"The speed this settler tames animals"
atb_info_TameChanceMultiplier,Text,,"The chance for this settler to successfully progress in taming a wild animal"
atb_info_TendingFailChance,Text,,"Chance that wound tending fails, making wounds worse."
atb_info_TendingQuality,Text,,"Multiplier indicating how well wounds are tended. (This is also affected by the quality of the healing kit and herbs.)"
atb_info_TendingSpeed,Text,,"The speed this settler tends to wounds."
atb_info_TradingBargain,Text,,"The value this settler can gain from the merchant while not giving the same amount back."
atb_info_TradingValue,Text,,"This offsets the proffered value by XX%."
atb_info_TrainAnimalSpeed,Text,,"The speed this settler trains animals"
atb_info_TrainChanceMultiplier,Text,,"The chance for this settler to successfully progress in training a domesticated animal"
atb_info_UnarmedArmorDamage,Text,,"The percentage of damage dealt by an unarmed settler to the target's armour."
atb_info_UnarmedBuildingDamage,Text,,"The percentage of damage dealt by an unarmed settler to a building or resource pile."
atb_info_UnarmedDamage,Text,,"Base damage that this settler inflicts when unarmed."
atb_info_UnarmedIgnoreArmor,Text,,"The percentage damage inflicted by an unarmed settler on an armed target."
atb_info_UnarmedPrecision,Text,,"The chance to strike a target when unarmed."
atb_info_UnarmedSpeed,Text,,"The time between punches."
atb_info_WoodWorkingSpeed,Text,,"This settler's woodworking speed."
atb_info_WoundRegen,Text,,"Settler's regeneration speed when wounded."
atb_info_XpCapMultiplier,Text,,"Settler daily XP per skill is capped. This multiplier sets the cap."
atb_info_XpDecayMultiplier,Text,,"Settler XP decays slowly over time, and the decay rate varies per settler. XP will not decay beneath the last level gained in a given skill."
atb_info_fishing_failed,Text,,"The percentage chance that fishing will fail and resources from that catch will be lost"
atb_info_fishing_yeald,Text,,"The number of fish caught when fishing "
atb_info_recruitPrisonerChance,Text,,"The chance to successfully recruit a prisoner to become a new settler. "
atb_name_AffectionNegativeMultiplier,Text,,"Negative Social Interaction"
atb_name_AffectionPositiveMultiplier,Text,,"Positive Social Interaction "
atb_name_AgentBeautyInput,Text,,"Aesthetic Value"
atb_name_AgentFireDamageMultiplier,Text,,"Flame damage multiplier"
atb_name_AgentFlammability,Text,,"Flammability"
atb_name_AnimalCritChance,Text,,"Animal Critical Hit Chance"
atb_name_AnimalHarvestYeald,Text,,"Animal Harvest Yield"
atb_name_AnimalTameChance,Text,,"Chance to Tame Animal "
atb_name_AnimalTrainChance,Text,,"Chance to Train Animal "
atb_name_AttackCritChance,Text,,"Attack Critical Hit Chance"
atb_name_BeingRecruitedChance,Text,,"Successful Accept Recruitment Chance"
atb_name_BloodLoss,Text,,"Blood Loss"
atb_name_BloodRecovery,Text,,"Blood Recovery"
atb_name_ButcheringYield,Text,,"Butchering Yield"
atb_name_Clumsiness,Text,,"Clumsiness"
atb_name_CombatPerception,Text,,"Combat Perception"
atb_name_ConsciousnessLoss,Text,,"Loss of Consciousness "
atb_name_ConsciousnessMax,Text,,"Consciousness Max"
atb_name_ConsciousnessStep,Text,,"Consciousness Recovery"
atb_name_ConstructionFail,Text,,"Chance Construction Fails"
atb_name_ConstructionSpeed,Text,,"Construction Speed"
atb_name_ConsumptionSpeed,Text,,"Consumption Duration"
atb_name_ConversationAvailabilityChance,Text,,"Chance to engage in social interactions"
atb_name_ConversationInteractionHoursCooldown,Text,,"Time between social interactions "
atb_name_CookingAmount,Text,,"Cooking Yield"
atb_name_CookingSpeed,Text,,"Cooking Speed"
atb_name_CourteousAmount,Text,,"Courteous Amount"
atb_name_CraftingMiscSpeed,Text,,"Crafting Speed"
atb_name_CutAmount,Text,,"Reaping Amount"
atb_name_CutFail,Text,,"Chance Reaping Fails"
atb_name_CutSpeed,Text,,"Reaping Speed"
atb_name_CuttingStone,Text,,"Cutting Stone"
atb_name_DecomposeSpeed,Text,,"Decomposition Speed"
atb_name_EvadeChance,Text,,"Evade Chance"
atb_name_GlobalWorkSpeed,Text,,"Global Work Speed"
atb_name_GlobalXPgain,Text,,"XP Gain"
atb_name_HarvestAmount,Text,,"Harvest Amount"
atb_name_HarvestAnimalSpeed,Text,,"Animal Harvest Speed"
atb_name_HarvestFail,Text,,"Chance Harvest Fails"
atb_name_HarvestSpeed,Text,,"Harvest Speed"
atb_name_HealthLoss,Text,,"Hitpoint Loss"
atb_name_HealthMax,Text,,"Hitpoints Max"
atb_name_HealthRecovery,Text,,"Hitpoints Recovery"
atb_name_Hunger,Text,,"Appetite"
atb_name_HungerThreshold,Text,,"Hunger Threshold"
atb_name_HuntingRetaliateChance,Text,,"Chance Quarry Retaliates"
atb_name_HuntingRunChance,Text,,"Chance Quarry Flees"
atb_name_HuntingVisibility,Text,,"Hunting Visibility"
atb_name_MakeClayBrick,Text,,"Brickmaking Speed"
atb_name_MakeClothesSpeed,Text,,"Sewing Speed"
atb_name_MeleeAttackSpeed,Text,,"Melee Weapon Attack Duration Multiplier"
atb_name_MeleeChance,Text,,"Melee Weapon Hit Chance"
atb_name_MeleeDmg,Text,,"Melee Weapon Damage Multiplier"
atb_name_MineAmount,Text,,"Mining Amount"
atb_name_MineFail,Text,,"Chance Mining Fails"
atb_name_MineSpeed,Text,,"Mining Speed"
atb_name_MoodChangeSpeed,Text,,"Mood Change Speed"
atb_name_MoodTarget,Text,,"Mood Target"
atb_name_MotorFunction,Text,,"Motor Function"
atb_name_MovementSpeed,Text,,"Movement Speed"
atb_name_NegotiationChance,Text,,"Negotiation"
atb_name_NegotiationMultiplier,Text,,"Negotiation Multiplier"
atb_name_PainMax,Text,,"Pain Max"
atb_name_PainStep,Text,,"Speed Pain Recedes"
atb_name_PainTreshold,Text,,"Pain Threshold"
atb_name_RangedChance,Text,,"Ranged Weapon Hit Chance"
